Id,Text,Summary
1178,suggest connections for you and others,the purpose of working with thirdparty service providers
1179,you have the right to request a copy of the personal data we have collected about you in the past 12 months you also have the right to ask us to delete your personal data we have collected about you if you want to see or delete your personal data contact us or submit your request from your account settings we will not deny you services charge you different prices or provide you with a different level of service solely for exercising your privacy rights if you are a california resident learn more about how we have handled your privacy rights,procedure of requesting a copy of the personal information
1180,if you communicate through our services we learn about that,comply with law
1181,if a user decides to optin to our mailing list they will receive emails that may include news and project updates if at any time the user would like to unsubscribe from receiving future emails we include detailed unsubscribe instructions at the bottom of each email or the user may contact us via our site,providing more services
1182,at the top of the browser window whale provides a search address bar in which the web address and search bars are combined users are able to change the search engine from whale settings at any time if necessary in case of the use of a search engine other than naver search terms will be transmitted and recorded pursuant to the corresponding service providers search engine policy,basic pc information
1183,nch software reserves the right to occasionally update this privacy policy to reflect company and customer feedback or changes to privacy legislation we encourage you to periodically review this privacy policy to be informed of how nch software is protecting your personal information,ensure security of services
1184,2 records and financial information for example social security number governmentissued identification bank account and routing numbers credit and debit card information financial information,merger acquisition or other business transaction
1185,we have specific rules for how and when we use the information we collect and receive we are committed to protecting the privacy of your information we use the information we collect and receive to provide maintain and improve the evernote service to provide troubleshooting and customer support to protect the evernote service for all our users to contact you and to administer evernote teams accounts,the procedure of encrypting information
1186,edrawmax will not publish or disseminate any information registered by the user on this website edrawmax reserves the right to review documents to help resolve problems with edraw products or service or to ensure compliance with our terms of service,the purpose of personal information for registration
1187,we may disclose and transfer your personal information to a subsequent owner coowner or operator of slideshow maker app or the services or in connection with a merger acquisition consolidation restructuring or the sale of substantially all our interests andor assets ie a bankruptcy proceeding we shall rehire the subsequent owner coowner or operator in possession of your personal information to continue to be subject to this privacy policy otherwise we shall request that they obtain the necessary consent from you,law enforcement courts
1188,the information that chrome sends to google location services may include the wifi routers closest to you the strength of your wifi or cell signal the ip address that is currently assigned to your device,information obtained from linked services
1189,we may also disclose personal information from time to time to our partners and affiliates who may be located in different countries inside or outside the eu including but not limited to our partners and affiliates in the uk the united states singapore japan and china or if you are not already dealing directly with them to our parent company in australia blackmagic design pty ltd or any entities wherever located that are under common control with it,process of accessing personal information
1190,to help refine or improve the technology we may ask you for permission to review portions of your content for example if a new feature suggests related notes that are relevant to your content we may give you an opportunity to provide us feedback on how well the feature is performing along with a sample of the content in question so we can make sure this feature provides appropriately tailored suggestions such access to your content is done only with your express permission and is subject to strict confidentiality rules and data access controls choosing to give us such permission is completely voluntary,declining cookies
1191,you will not be able to opt out of messages that are considered necessary for you to manage your account such as receipts and emails that alert you to changes in your accounts status that require your attention you may be able to decide how we send those messages such as by email text message or a notification on your mobile device,employee data
1192,we collect information about you when you send receive or engage with messages in connection with our services for example if you get a linkedin connection request we track whether you have acted on it and will send you reminders we also use automatic scanning technology on messages to support and protect our site for example we use this technology to suggest possible responses to messages and to manage or block content that violates our user agreement or professional community policies from our services,ensure security of services
1193,cookies a cookie is a small text file that is stored on a users computer for recordkeeping purposes we may link the information we store in cookies to any personal information we obtain from your use of screenrec services screenrec services may use both session cookies and persistent cookies a session cookie expires when you close your browser a persistent cookie remains on your hard drive for an extended period of time you can control the use of cookies at the individual browser level but if you choose to disable cookies it may limit your use of certain features or functions of screenrec services,hosting and data transfer
1194,to the extent permitted by applicable law we may use information about our customers and viewers for the following purposes or in the following ways to deliver screenrec services to provide our customers with analytical data and reports about video viewing activity to provide customer support to enable viewers to register with our customers in order to be able to watch video content on our customers websites or apps ,reasons for collecting personal data
1195,also we support the do not track browser setting and you can learn more about how it affects our collection and use of offpinterest data,protecting data when transfering 
1196,cookies are small data files typically of letters and numbers that are placed by a web server on your device we and companies we work with may use cookies and similar technologies including pixel tags web beacons mobile analytics features and mobile identifiers collectively tracking technologies to collect information for many reasons such as to keep you logged in to your account remember your preferences and settings analyze usage of our services measure the performance of our services and advertising campaigns and ensure security on our services some of the functions performed by tracking technologies are strictly necessary for us to be able to offer you our services while others provide us with valuable insight about how we can improve or market our services ,sharing data with courts and governments
1197,in certain instances adobe is acting only on your behalf for personal information collected and processed by our services for example for the address book contacts shared by users when entering recipient information in such cases adobe is acting only on your instructions in order to facilitate the service requested by you and you will be responsible for the information shared in these instances we will inform you through inapp notifications or other intime communications if you submit any information relating to other people to us or to our service providers in connection with your use of adobe services and software you represent that you have the authority to do so and to permit us to use the information in accordance with this policy,suggest connections
1198,we may collect certain information about viewers viewers can be our customers website viewers or our customers customers viewers in a scenario when our customer is acting as white label reseller of screenrec services such information may include personal information which is information that identifies an individual or relates to identifiable person information that may be collected when videos are viewed via screenrec services includes unique ids such as ip addresses or device id viewer name address email address title and industry or any other custom data our customer may choose to collect from viewers note that screenrec collects this information about viewers only if a customer elects to use certain features of screenrec services such as audience forms external uploaders with metadata forms payperview that are intended to collect such information system information such as device browser and operating system type and version screen resolution and preferred language referring domain destination domain and destination path video viewing activity such as player loads number of views viewed minutes percent of content viewed new viewers unique viewers attention span top domains geography traffic sources search terms and other similar information this information is aggregated and anonymized meaning it is not connected to an individual viewer geolocation data other personal information of a natural person that may be included in videos or other data that is uploaded to screenrec services,providing software service
1199,online advertisers typically share information with the websites or apps where they run ads to measure and or improve those ads we also receive this information which may include information like whether clicks on ads led to purchases or a list of criteria to use in targeting ads,third party vendors service providers
1200,adobe offers certain features that let you edit and organize your photographs videos and other types of content using characteristics like face and voice eg you can group similar faces places and image characteristics within your collection and such characteristics may be considered biometric identifiers or biometric information under certain us laws or other applicable privacy laws when you choose to use these features adobe is acting only on your instructions in order to facilitate the service requested by you these features are off by default and should you choose to enable them you can always disable these features,data related to others
1201,if you opt to import your address book we receive your contacts including contact information your service providers or app automatically added to your address book when you communicated with addresses or numbers not already in your list,third party services
1202,our log files are stored on a secure server operated by our web hosting company media temple media temple is privacy shield certified to comply with data protection requirements you can learn more about privacy shield and view a list of privacy shield certified companies on the privacy shield website,customer service
1203,you can disable or decline some cookies for our sites and services but since some parts of our service rely on cookies to work those services could become difficult or impossible to use,the purpose of using information
1204,if you are logged in at the same time on facebook facebook detects with every your visit of the website and for the entire duration of your stay on the website which specific page of the website was visited this information is collected through the facebook component and associated with your facebook account if you click on one of the facebook buttons integrated into the website eg the like button or if you submit a comment then facebook matches this information with your personal facebook user account and stores the personal data,deliver advertising
1205,analytics we may use third party analytics services such as google analytics to track the use of screenrec services by our customers for information on how google collects and processes information and how to opt out from googles collection of your information please click here,the process of dealing with public content
1206,if you choose to transmit on the web a svg file created or edited with inkscape it might contain full file paths including that username that inkscape sometimes embeds into the file for the purpose of remembering where you save png exports of specific files you can get around that by saving as optimized svg and this information will be stripped out of the file,network activity information
1207,if you install and use our software we may also collect information relating to your device for the purposes of registration or activation of the software,cookies
1208,we use data for promotional and marketing purposes and to tailor and personalise products and services,career opportunities 
1209,our sites may also set a session cookie to enable them to function properly in such cases the session cookie will only last for the length of your session and the only information recorded will be that which is necessary to enable the website to function properly and no personally identifiable information will be recorded in the session cookie,consent to store data
1210,we collect the content communications and other information you provide when you use our products including when you sign up for an account create or share content and message or communicate with others this can include information in or about the content you provide like metadata such as the location of a photo or the date a file was created it can also include what you see through features we provide such as our camera so we can do things like suggest masks and filters that you might like or give you tips on using camera formats our systems automatically process content and communications you and others provide to analyze context and whats in them for the purposes described below learn more about how you can control who can see the things you share,autofill password management and payments 
1211,your contacts and others users including businesses with whom you communicate can store or reshare your information including your phone number or messages with others on and off our services you can use your services settings and the block feature in our services to manage who you communicate with on our services and certain information you share,how safety security and integrity are protected
1212,we use data to respond to communications from you,visitors information
1213,our automated methods include artificial intelligence ai which we think of as a set of technologies that enable computers to perceive learn reason and assist in decision making to solve problems in ways that are similar to what people do to build train and improve the accuracy of our automated methods of processing including ai,providing more services
1214,restrict processing under certain circumstances you can block or suppress further use of your personal data you can cancel promotional materials such as newsletter emails,protecting from piracy
1215,if you use our services without creating or logging into an account we will still collect personal data when you use our services without creating or logging into an account we will use this information to process transactions prevent fraud and comply with the law we may connect this information with your account if you have one or if you create an account at a later date,verify identity
1216,we access preserve and share your information described in the information we collect section of this privacy policy above if we have a good faith belief that it is necessary to a respond pursuant to applicable law or regulations legal process or government requests b enforce our terms and any other applicable terms and policies including for investigations of potential violations c detect investigate prevent or address fraud and other illegal activity or security and technical issues or d protect the rights property and safety of our users whatsapp the other facebook companies or others including to prevent death or imminent bodily harm,request deletion after desactivating accounts
1217,we may obtain information from other sources and combine that with information we collect through our services for example if you create or log into your account through a thirdparty social networking site we will have access to certain information from that site such as your name account info in accordance with the authorization procedures determined by such thirdparty social networking site,purpose of collecting anonymous information form visits
1218,we only ask for personal information when we truly need it to provide a service to you we collect it by fair and lawful means with your knowledge and consent,what personal information is collected
1219,all financial transactions on photoshop essentialscom including payments for memberships to our site are handled by paypal using paypals secure servers any personal information required by paypal is required by paypal only not by photoshop essentialscom we are not involved in the financial transaction process and paypal does not provide us with any financial information about our members we are notified by paypal only when a financial transaction has been approved at which point the membership setup process is completed if a transaction is declined we are not provided with any information as to the reason why no financial information about our visitors is obtained by photoshop essentialscom or stored anywhere on our servers,sending updates
1220,we use the information we collect including account service usage and survey information to conduct research and development for the further development of our services in order to provide the services to you and others,collecting data automatically
1221,to get more geographically relevant information chrome gives you the option to share your location with a site chrome wont allow a site to access your location without your permission,payment information
1222,we may collect your trade show or similar event attendee details where applicable,how closed accounts data is handled
1223,we also provide information and content to research partners and academics to conduct research that advances scholarship and innovation that support our business or mission and enhances discovery and innovation on topics of general social welfare technological advancement public interest health and wellbeing,marketing information emails
1224,cookies are small text files placed on your device to store data that can be recalled by a web server in the domain that placed the cookie,location data
1225,to process and store data including your personal information,survey information data
1226,please keep in mind that we cannot guarantee that the internet itself is 100 secure although we will do our best to protect your personal information transmission of personal information to and from the website is at your own risk you should only access the services within a secure environment,the procedure of  dealing with contact upload feature
1227,in visiting our website or accessing our services including the blackmagic forum we may also utilise cookies to enable us to monitor traffic patterns and to serve you more efficiently a cookie does not identify you personally but it does identify your computer you can set your internet browser to notify you when you receive a cookie and this will provide you with an opportunity to either accept or reject it in each instance,transfer of your personal information
1228,we only allow service providers to handle your personal data when we have confirmed that they apply appropriate data protection and security controls we also impose contractual obligations on service providers relating to data protection and security,data shared with third parties
1229,edraw cloud is intended to offer a stable reliable and convenient cloud storage service for all edrawmax product registered users and committed to keeping your data secure all your data will be stored safely on alicloud alicloud is one of the largest cloud service company in the world which belongs to the internationally renowned alibaba group  who has been a nasdaqlisted company for years nobody could access to your data except yourself you are responsible for keeping your password and other login details confidential we will not ask you for your password except when you log in to the website,payment processor
1230,we may notify you about these changes through email or other communications,staying connected 
1231,at the same time our services may include thirdparty tracking tools without limitation to individual cookies apis application programming interface and sdks software development kit to collect and analyze technical data from you wps or aforementioned thirdparty services providers collect such data not to identify any specific individuality or personality of yours but to understand how you access and use the services at general manner such data helps us provide the services for you learn how the services are used and make the services more useful to you,using information for conducting research
1232,docker may use local shared objects also known as flash cookies to store your preferences or display content based upon what you view on our site to personalize your visit,interaction with services information
1233,emails we send you may include a technology called a web beacon that tells adobe whether you have received or opened the email or clicked a link in the email if you do not want us to collect this information you can opt out of receiving adobe marketing emails,personal information
1234,our services allow you to stay in touch and up to date with colleagues partners clients and other professional contacts,partners who use analytics services
1235,we transfer your personal information subject to appropriate safeguards as permitted under the relevant data protection laws the transfer of your personal information out of the designated countries is necessary for the performance of our contract with you or the performance of a contract between us and another party that we entered into for your interest or for important reasons of public interest we may also rely on legal transfer mechanisms such as standard contractual clauses,personal data
1236,when you register or subscribe to any of our services we collect a wide variety of information about you,search prediction service 
1237,internet or electronic network activity information advertising networks data analytics providers payment processing and other financial services partners fulfillment partners security and fraud prevention partners customer service partners,the right to restrict processing
1238,we also use web beacons to help deliver cookies and gather usage and performance data our websites may include web beacons cookies or similar technologies from third party service providers,security measures
1239,this information may be to monitor who is accessing our website or using our services,verify user registration 
1240,you may request access to or correction or deletion of personal information by contacting us at privacyscreenreccom we will attempt to answer all requests that we correct inaccurate personal information or delete personal information unless we are required to retain it by law or for legitimate business purposes,selling and supplying goods
1241,if you have an account on this site or have left comments you can request to receive an exported file of the personal data we hold about you including any data you have provided to us you can also request that we erase any personal data we hold about you this does not include any data we are obliged to keep for administrative legal or security purposes,customer support information
1242,we use your personal data for profiling purposes, google location services
1243,we use information about you where you have given us consent to do so for a specific purpose not listed above for example we may publish testimonials or featured customer stories to promote the services with your permission,protecting personal data
1244,under the gdpr where it applies you have a number of important rights free of charge in summary those include rights to fair processing of information and transparency over how we use your use personal information that this privacy notice is already designed to address,the process of dealing with public content
1245,manage and improve our business for example we do user research to improve our products performance and abilities we also monitor and analyze our sites to help ensure they work as expected,personal information
1246,you also may give us permission to access your information in other services for example you may link your facebook or twitter account to pinterest which allows us to obtain information from those accounts like your friends or contacts the information we get from those services often depends on your settings or their privacy policies so be sure to check what those are,fulfill sales and support requests
1247,we also use your personal data to contact you electronically about products and services which we think may interest you,online advertisers to audit performance
1248,you have the right to request that we restrict the processing of your personal data under certain conditions,communication options
1249,we adopt appropriate data collection storage and processing practices and security measures to protect against unauthorized access alteration disclosure or destruction of the collected personal data,career opportunities 
1250,we may collect information that you provide when you use the services such as when you participate in events or promotions,disclose information for invistigation
1251,information received from our partners and other third parties we also may link your subscription information with the data information we receive from our partners or other third parties such as google analytics firebase facebook analytics flurry etc to help smoothly facilitate our services for you to better understand your needs and to provide you with better services experience use of information received from google apis will adhere to google api services user data policy including the limited use requirements,disclosing information to affiliate partners 
1252,your connections you can use the contact upload feature and provide us if permitted by applicable laws with the phone numbers in your address book on a regular basis including those of users of our services and your other contacts if any of your contacts arent yet using our services well manage this information for you in a way that ensures those contacts cannot be identified by us learn more about our contact upload feature here you can create join or get added to groups and broadcast lists and such groups and lists get associated with your account information you give your groups a name you can provide a group profile picture or description,payment processes 
1253,if you choose to receive a digital receipt via email or text when completing a payment instore well remember your choice the next time you checkout with the same payment card,collaborate with colleagues
1254,generally we collect and use customers personal data because it is necessary for the purposes of complying with our duties and exercising our rights under a contract for the sale of goods to a customer,storing data for legitimate purposes
1255,payment processors and ecommerce  we share your payment info with payment and ecommerce  service providers stripe paypal 2checkout and digital river to process payments to prevent detect and investigate frauds and for dispute resolutions chargebacks claims refunds,cookies and device identifiers
1256,do not track the site does not recognize a do not track setting or similar mechanism from your browser to indicate that you do not wish to be tracked or to receive interest based ads,the process of payments
1257,we use your personal information for our marketing activities for example we may conduct targeted marketing and send you information about our and our partners products events and market studies that may be of interest to you,cookies
1258,some of the information that we along with any third party services collect about our visitors as detailed in this privacy policy is stored as cookies in your web browser cookies are a way for websites to remember something about you and most websites require at least some cookies to function properly and provide you with the best experience to learn more about cookies including how to control and disable cookies in your browser please visit the cookies and you website,sharing information by advertising partners 
1259,to remove content you have shared on our services and software please use the same feature you used to share the content if another user invites you to participate in shared viewing editing or commenting of content you may be able to delete your contributions but usually the user who invited you has full control if you have questions or concerns about this please contact us,engaging with messages
1260,we do not provide contact information to customers as part of these premium services without your consent,purpose of using tracking technologies
1261,the right to ask for a copy of personal data that we hold about you,purpose of offering customized content
1262,in addition in rare cases we may share your information as necessary to investigate or take action regarding illegal activities suspected fraud or potential threats against persons property or the systems on which we operate the evernote service or as otherwise necessary to comply with our legal obligations,communication purposes 
1263,marketing data any contact information you provide to us for marketing purposes such as your name email address and phone number is retained on an ongoing basis until you unsubscribe from our marketing communications if you unsubscribe we will add your contact information to our do not contact list to respect your unsubscribe request,contact information
1264,jetbrains may collect among other things your ip address jetbrains account username jetbrains account password first name last name email address and subscription information,other ressources
1265,we may get information about you and your activity off pinterest from our affiliates advertisers partners and other third parties we work with for example some websites or apps use pinterest features like our save button if so we may collect log information described above from those sites or apps,the purpose of personal information for registration
1266,a cookie is a small file containing a string of characters that is sent to your computer when you visit a website when you visit the site again the cookie allows that site to recognize your browser cookies may store user preferences and other information you can configure your browser to refuse all cookies or to indicate when a cookie is being sent however some website features or services may not function properly without cookies learn more about how google uses cookies and how google uses data including cookies when you use our partners sites or apps,legal processes
1267,we may update this policy from time to time by publishing a new version on our website the last time this document was updated is printed at the bottom of this policy,understand needs 
1268,we use cookies and similar technologies for storing and honoring your preferences and settings enabling you to sign in providing interest based advertising combating fraud analyzing how our products perform and fulfilling other legitimate purposes,ensure receiving emails
1269,we currently profile your personal data for the following purpose to ensure that you receive our emails and newsletters in your local language and or relevant to the products and services we provide in your country,personal information
1270,if we sell our business or our company assets are acquired by a third party personal data held by us about our users may be one of the transferred assets,how to protect the privay of accounts
1271,adobe may also share your personal information when you agree to the sharing when we have a good faith belief that we are required to provide information in response to a subpoena court order or other applicable law or legal process learn more or to respond to an emergency involving the danger of death or serious bodily harm if we merge with or are acquired by another company sell an adobe website app or business unit or if all or a substantial portion of our assets are acquired by another company your information will likely be disclosed to our advisers and any prospective purchasers advisers and will be one of the assets that is transferred to the new owner,data about device when installing updates
1272,we use data for handling complaints and return claims,facebook and google analytics 
1273,you may at any time prevent the setting of cookies through the website by means of a corresponding setting of the internet browser used and may thus permanently deny the setting of cookies furthermore already set cookies may be deleted at any time via an internet browser or other software programs this is possible in all popular internet browsers,staying connected 
1274,the purpose of the google analytics component is to analyze the traffic on the website google uses the collected data and information inter alia to evaluate the use of the website and to provide online reports which show the activities on the website and to provide other services concerning the use of the website for us,comply with legal obligations
1275,we only ask for personal information when we truly need it to provide a service to you we collect it by fair and lawful means with your knowledge and consent,protect legitimate interests
1276,data from device settings information you allow us to receive through device settings you turn on such as access to your gps location camera or photos,supply users with email newsletters
1277,your contact details including your name email address employer details mailing address phone number and mobile phone number,google analytics cookies
1278,we will keep your information and nonpersonal data separate and use each independently if we do combine nonpersonal data with your information the combined data will be treated as personal data we will protect the privacy of your information through strong security and encryption and in accordance with this privacy policy,purpose of using tracking technologies
1279,7 audio electronic visual biometric or similar information for example call recordings when you talk to customer service voice identification when you consent to this biometric method of authentication photo ids and profile pictures you provide,browser mobile settings
1280,device and connection information we collect device and connectionspecific information when you install access or use our services this includes information such as hardware model operating system information battery level signal strength app version browser information mobile network connection information including phone number mobile operator or isp language and time zone ip address device operations information and identifiers including identifiers unique to facebook company products associated with the same device or account,providing analytics services
1281,your profile is fully visible to all members and customers of our services subject to your settings it can also be visible to others on or off of our services,performance of a contract
1282,object to or limit or restrict use of data you can ask us to stop using all or some of your personal data eg if we have no legal right to keep using it or to limit our use of it eg if your personal data is inaccurate or unlawfully held,sending notification for safety
1283,to help refine or improve the technology we may ask you for permission to review portions of your content for example if a new feature suggests related notes that are relevant to your content we may give you an opportunity to provide us feedback on how well the feature is performing along with a sample of the content in question so we can make sure this feature provides appropriately tailored suggestions such access to your content is done only with your express permission and is subject to strict confidentiality rules and data access controls choosing to give us such permission is completely voluntary,purpose of information provided by thirdparties
1284,we use the collected data for various purposes including to fulfill any other purpose for which you provide it, restrict use of data 
1285,these websites may collect data about you use cookies embed additional thirdparty tracking and monitor your interaction with that embedded content including tracking your interaction with the embedded content if you have an account and are logged in to that website,legitimate interests 
1286,how long we keep your information we will only retain your information to the extent a it is needed for the purposes which we have conveyed to you b we are required by law to maintain such information or c it is needed for us to address any issues or inquiries that you may have when your information is no longer required we will dispose of such information by destroying it or erasing it,public information
1287,docker may also collect information about how you use the services such as activity data feature usage and product version data,the purpose for using location information
1288,naver complies with apec privacy principles which are recognized as one of the global standards and all requirements defined in privacy protectionrelated laws such as the act on promotion of information and communications network utilization and information protection etc when it comes to collecting saving and utilizing the minimum information necessary for the browsing service provision such measures include but are not limited to encryption of the data transmission section limitation on duration of collected data collection of information usage for the intended purpose safe disposal establishment of management system for private information and other data and information protection authentication,process of using cross device tracking
1289,when you buy something on pinterest using your credit card we may share your credit card information contact information and other information about the transaction with the merchant you are buying from the merchants treat this information just as if you had made a purchase from their website directly which means their privacy policies and marketing policies apply to the information we share with them,maintain security
1290,we use your data to produce and share insights that do not identify you for example we may use your data to generate statistics about our members their profession or industry to calculate ad impressions served or clicked on or to publish visitor demographics for a service or create demographic workforce insights,education information
1291,you have the right to request that we transfer the data that we have collected to another organization or directly to you under certain conditions,for how long data is detained 
1292,using information to improve and develop our services,responding to requests about personal information
1293,we adopt appropriate data collection storage and processing practices and security measures to protect against unauthorized access alteration disclosure or destruction of the collected personal data,the right to data portability  
1294,the purpose of the information is for analyzing trends administering the site tracking users movement on the website and gathering demographic information,researchers and academics
1295,we will also collect the details about the license purchased such as the type and term of the license number of end users etc along with any comments made in conjunction with your order,providing services 
1296,if you are logged in at the same time on facebook facebook detects with every your visit of the website and for the entire duration of your stay on the website which specific page of the website was visited this information is collected through the facebook component and associated with your facebook account if you click on one of the facebook buttons integrated into the website eg the like button or if you submit a comment then facebook matches this information with your personal facebook user account and stores the personal data,provide notices about accounts
1297,personal data in this statement means information about you including your identity finances and online behavior,policy towards children
1298,we work with thirdparty partners who help us provide and improve our products or who use meta business tools to grow their businesses which makes it possible to operate our companies and provide free services to people around the world we dont sell any of your information to anyone and we never will we also impose strict restrictions on how our partners can use and disclose the data we provide here are the types of third parties ,thirdparty web components
1299,the information we collect may be used for the following purpose verification of user registration information,newsletters contact
1300,personal information means information that alone or in combination with other information may be used to identify you personal information includes but is not limited to name user name email address mailing address and phone number when you use our services we may collect the following information about you,email contact
1301,cookies are files with a small amount of data which may include an anonymous unique identifier cookies are sent to your browser from a website and stored on your device other tracking technologies are also used such as beacons tags and scripts to collect and track information and to improve and analyze our service,notify about changes
1302,the normal legal basis for processing customer data is that it is necessary for effectively handling any legal claims or regulatory enforcement actions taken against us,cookies
1303,member information is stored on a secure server provided by our web hosting company media temple media temple is privacy shield certified to comply with data protection requirements,invite others
1304,sharing data with third parties for marketing advertising promotions contests or other similar purposes if required by applicable law we will share such data for advertising and marketing purposes only in an aggregate anonymous and deidentified manner,data encryption for protection
1305,you may add or update certain information to your account when you update information however we often maintain a copy of the unrevised information in systems backups for a period of time until our backup is updated with the latest version,protecting persoanl information
1306,we use your data to produce and share insights that do not identify you for example we may use your data to generate statistics about our members their profession or industry to calculate ad impressions served or clicked on or to publish visitor demographics for a service or create demographic workforce insights,sharing data with connected third parties
1307,we may process your information to personalize the services for you for example we use your language preferences and country location to display the correct language and time zone in the services we also use certain information about your device such as operating system version and screen resolution information to optimize the display of pictures on your screen,protecting safety and security
1308,we will ensure that your personal data is processed lawfully fairly and transparently without adversely affecting your rights we will only process your personal data,procedure of deleting personal information
1309,users logged in with naver id may selectively use the function of download manager naver cloud connect upon login to whale a whale download folder will be automatically generated in the naver cloud users can store downloaded files in the folder after setting the saved path as naver cloud,providing services 
1310,comply with laws and enforce our agreements with you and other people who use our services, profession data
